title,description,location,City,features,date,price
3BHK 1.5 STORY KOTHI AVAILABLE FOR SALE,Available in Khanna colony Good location Neat and clean kothi 7-8 Years old Reasonable price Contact us for more information-            ~SIDHWAN PROPERTY ADVISOR~                                     the Reliable Agents-,Punjab,Ludhiana,3 Bds - 2 Ba - 1125 ft2,2022-01-09T17:12:53+0000,4500000
70 Gaj 3-Bhk Semi-Duplex At Govindpura,* 70 Gaj Semi-Duplex At Govindpura * 80% loanable * 2.67 lac gov.subsidy also available * 500 m from kalwar road * 3 bedroom * Modular Kitchen * Wardrobes * Vaastu friendly * Royal Play Paint * Car Parking * All electric fittings done  For more information contact us,Rajasthan,Jaipur,3 Bds - 2 Ba - 1050 ft2,2022-01-09T17:12:51+0000,2821000
8.75 cent & house @ cherpu cherucheanam,For changing,Kerala,Chevvoor,3 Bds - 3 Ba - 1000 ft2,2021-12-12T15:12:29+0000,2850000
Flat for sale,Flat for sale,Telangana,Hyderabad,,2021-12-29T15:14:18+0000,2000000
Flats for sale in kovilambakkam,"Flats for sale  LOCATION  Old No. 4/49, New No. 1/1018, 4th Street, Thiruvenkadam Nagar, Vadakupattu, Medavakkam, Chennai 600 100.  FEATURES  1. Good Ground water level  2. pest control 3. Automatic Lift 4. Building completely as per vasthu 5. Architectural Design with Structural Plan & Drawing Unique plan with Aesthetic Elevation. ( construction done fully using BRICK & Innur plastering  in SAND )  AREAS NEARBY   1. Velammal NewGen School at 700 m 2. Dr. Kamakshi Memorial Hospital in 4 km 3. Medavakkam Junction at 3 km 4. Chennai Airport in 10 km 5. Kilkattalai bus stand 2.6 km  Only 4 flats available ( F3, S2, T1, T3) HURRY UP.   POSITION OCTOBER 22  Get your dream home at the best price now. The Lifestyle you Deserve.",Tamil Nadu,Chennai,2 Bds - 2 Ba - 805 ft2,2021-12-15T06:44:02+0000,4500000
Haveli bangloes,Arajant cell karavanu chhe. Pllzzz,Gujarat,Sidhpur,4+ Bds - 4 Ba - 400 ft2,2022-01-09T17:12:17+0000,9500000
"Vellayani 4 cent, 1750 sqft, 3 room attached, Red bricks, teak wood",2.5 km from Vellayani jn NH  1 km from Vellayani temple  250 mtr from main road bus stop  Residancy area  4 cent  1750 sqft  3 room attached bath  Red bricks  Teak wood  2 Hall  Dining room  Open kitchen  Used all branded material  Open kitchen  Pipe connection  2 big car parking space  Tar road side  Lorry site,Kerala,Thiruvananthapuram,3 Bds - 3 Ba - 1750 ft2,2022-01-09T17:11:38+0000,6200000
Self made house,Two and half flour built-up house ready to move.,Uttar Pradesh,Lucknow,4+ Bds - 4+ Ba - 3100 ft2,2022-01-09T17:11:37+0000,8500000
Sale stand-alone flat in very good condition,"This flat condition is very good, buyer can ready to move. From this flat vegetable market and bus stand is walking distance, hardly 3 to 4 minutes.",West Bengal,Kolkata,2 Bds - 2 Ba - 599 ft2,2022-01-09T17:10:31+0000,3500000
"House for sell at Kodungallore, Near Chandhapura Junction",5 mts walk from chandhapura jn Kodungallore.. 13 cent ozhavath kadav road building constructed on 1992,Kerala,Kodungallur,3 Bds - 2 Ba - 900 ft2,2022-01-09T17:10:28+0000,6700000
3BHK Flat for Sale,"This society is located near D-Mart, Ring Road , DDU Nagar, Raipur, 492001.",Chhattisgarh,Raipur,3 Bds - 2 Ba - 1250 ft2,2022-01-09T17:09:22+0000,2500000
Pukkattupady 3.500 Cent. 3 Bhk attached 1550 Sgf. New House.,Near. Bus route 30 Mtr. Only. Pukkattupady Chembarakky route.  From. Pukkattupady jn. 1.50 Kmtr.   65 Lakh,Kerala,Choornikkara,3 Bds - 3 Ba - 1600 ft2,2022-01-09T17:08:42+0000,6500000
urgent sell,beautifull flat all word done,West Bengal,Puruliya,2 Bds - 2 Ba - 800 ft2,2022-01-09T17:08:42+0000,2300000
We deal with all types of property,"All types of property, flats,  1Bhk 2Bhk 3Bhk 90 gajh, 100 gajh, 120gajh Plots and Kothis",Punjab,Kharar,2 Bds - 2 Ba - 900 ft2,2022-01-09T17:07:00+0000,2900000
House sale at Burdwan Bajeprapappur,House sale A ready to move property sale at burdwan 2.5 katha land full boundaries all shops and market are near by.  Only 23 lakhs,West Bengal,Chandannagar M.C.,3 Bds - 1 Ba - 7200 ft2,2022-01-09T17:06:52+0000,2300000
M3M Soulitude sector 89,Most valuable location at new gurgaon and most successful builder all India M3M gurgaon,Haryana,Gurgaon,3 Bds - 3 Ba - 1423 ft2,2022-01-09T17:06:07+0000,9200000
Brand New 3 Bhk flat for sale,Beautiful 3 Bhk flat for sale in in columbia Tower Chandigarh Enclave zirakpur.   Ready to move  Gated society Good quality construction  Wallpaper in every bedroom Wooden almihra and windows Loan facilities available  Curtain roads  Led lights Price are negotiable,Punjab,Zirakpur,,2022-01-09T17:05:28+0000,3690000
Servay park. Santoshpur. On road.,G+3 stored house.full furnished. 6 bed. 3 draying. 3 kitchen. 4 balcony. 8 bathroom. 1 office space. Garage. 1 care taker room.very beautiful house.not a single work from house. Prime location. Front road 50 fit.. Well maintain house. Total land 3 katha 1 chatak.  Price negotiable,West Bengal,Kolkata,4+ Bds - 4+ Ba - 00 ft2,2022-01-09T17:04:49+0000,45000000
Lake Garden New building sale @ 2.6 Cr,"Land area - 2 Kata 12 chatak ( G + 3 ) Apertment 1st floor - 3 bhk 2 toilet 1250 sft 1 balcony. 2nd floor,3rd floor same Car parking - 5 Ground floor - 300 sft Comersial shop Nearest 10 minutes walking distance Lake Garden Railway station. 5 minutes Auto distance Rabindra Sarabar metro station. 5 minutes walking distance Southcity mall,Lords bacary more. Loan available Brokage charge - 2%",West Bengal,Kolkata,4+ Bds - 4+ Ba - 4000 ft2,2022-01-09T17:04:26+0000,26000000
Flat for sale,2BHK apt for sale,Tamil Nadu,Chennai,2 Bds - 2 Ba - 680 ft2,2022-01-09T17:04:01+0000,4500000
3 BHK flats at just 10 minutes drive from Chandigarh,Gated community 24 hours security 24 hours water supply Parks  Gym Club House 45 feet wide roads Parking space available Best location for rental income For more info please call us,Punjab,Kharar,3 Bds - 3 Ba - 1600 ft2,2021-12-15T09:13:15+0000,5500000
"Spacious 3BHK ,1878Sq.ft,Luxury Villas for sale in Thrissur","Location The villa plot is centrally located. We can access Thrissur round, NH 47 within minutes.  The presence of famous perinchery pilgrimage centre “sacred heart church” within walkable distance is one of the major highlights of this project.  Perinchery is known to be a traditional ayurvedic village. The Ayurveda College is just 3km Away from the villa project.  You can easily access ollur town which is only 2 km away from our project.  A quiet peaceful green residential locality with no air or noise pollution.  SPECIFICATIONS  Structure Wire cut brick wall on foundation & RCC Slabs  Painting 2 coat putty finish for exterior walls, 2 coat Exterior emulsion with weather proof, Brand: Asian  Flooring Glossy & elegant vitrified tiles. Anti skid ceramic tiles for kitchen & toilets .  Switches MK SWITCHES  Doors & Window ‘JACKSON’ Doors, GODREJ fittings & UPVC Windows",Kerala,Thrissur,3 Bds - 4 Ba - 1878 ft2,2021-12-22T09:09:14+0000,8367920
House-at-Chelavoor-Chelavoor-Chelavoor-Vengeri-Calicut,91) New 4 bedroom house for sale at Kozhikode-Chelavoor  Lakhs Area : 5 Cents Area : 2100 Sqft Price: 85  2) New 3 bedroom house for sale at Kozhikode-Chelavoor  Area : 5 Cents Area : 2000 Sqft Price: 75 Lakhs  3) New 3 bedroom house near Chelavoor  Area 5 Cents Area : 1600 Sqft Price: 55 Lakhs      4) New 4 bedroom house near Vengeri Price: 90 Lakhs Area 4.5 Cents Area : 1700 Sqft Price: 75 Lakhs  5)New 3 bedroom house near Palakottuvayal  Area 4 Cents Area : 1700 Sqft Price: 75 Lakhs  (1) All prices are negotiable and for full finished condition  (2) We arrange Bank loans from all major banks at lowest rates  (3) For buying/selling/rent of all type of properties  (4 Or Visit our website WWW shalomreal com  (5) feel free to Contact on 0️⃣9️⃣4️⃣4️⃣6️⃣3️⃣3️⃣3️⃣#️⃣6️⃣6️⃣5️⃣,Kerala,Kozhikode,4 Bds - 4+ Ba - 2300 ft2,2022-01-06T06:14:12+0000,8500000
House near yog sr sec school 12 quarter road hisar 50 gaj ka Makan,10*45000 rs. House in hisar City good metiril and severage water supply light  connection call only genuine buyers not time pass my number is /9eight 77 four 00 seven double 1 / call kro 12 quarter road 18 number gali me aa kr abhi naya bana hua h only 6-8 months old roof lanter and progressive area h valuable bhi,Haryana,Hisar,2 Bds - 1 Ba - 500 ft2,2022-01-09T17:03:58+0000,1045000
"Near Airport ,United medicity,IIIT,Jhalwa 15mnts ride from civil lines","Almost 70percent work have been done of this villa 150sqyard best project in Prayagraj near jhalwa IIIT ,Airport and united medicity.",Uttar Pradesh,Allahabad,4+ Bds - 4 Ba - 2200 ft2,2021-12-24T06:20:39+0000,9500000
1 bhk flat Mohan garden best price best location.,Modular kitchen with chimany.  Modular switches.  10 foot road. Washable paint. Washable wallpaper. Tiles work. 24*7 water supply.  24*7 electricity supply.  Registry facility.  Loan facility 80_90 %.,Delhi,Delhi,1 Bds - 1 Ba - 450 ft2,2021-12-20T18:16:13+0000,1650000
5 bhk villa for sale vennala,5bhk 2500sqft villa for sale near vennala,Kerala,Kochi,4+ Bds - 4+ Ba - 2500 ft2,2021-12-12T06:38:48+0000,17500000
3bhk house in gated approved colony near isbt 70 lacs,Mdda approved colony near isbt Road front 30 ft Main approach road 40 ft Gated society Park  Swimming pool Gym Party hall Temple Loan facility Security,Uttaranchal,Dehradun,3 Bds - 4 Ba - 1900 ft2,2022-01-09T17:16:14+0000,7000000
"2BHK FLAT ON HIGHWAY, WITH STORE, FURNISHED FLAT JUST 28LKH",1BHK STARTING  15.90LKH 2BHK STARTING  22.90LKH 3BHK STARTING  27.90LKH     24.90LKH  2BHK ON GOOD LOCATION SECTOR 127 MOHALI ON ROAD  Easily you can get rent 12k-14k of 2BHK *(100gaz) 10% only Down payment 90% LOAN   After PMAY get benefit 2.67 lac in principle,Punjab,Mohali,2 Bds - 2 Ba - 1080 ft2,2022-01-09T17:16:14+0000,2790000
2BHK FLAT NEAR AIRPORT ROAD JUST 22.90LKH,1BHK STARTING  15.90LKH 2BHK STARTING  22.90LKH 3BHK STARTING  27.90LKH     24.90LKH  2BHK ON GOOD LOCATION SECTOR 127 MOHALI ON ROAD  Easily you can get rent 12k-14k of 2BHK *(100gaz) 10% only Down payment 90% LOAN   After PMAY,Punjab,Kharar,2 Bds - 2 Ba - 880 ft2,2022-01-09T17:16:14+0000,2280000
2850 FLAT FOR SALE AT BELHEAVEN KOWDIAR,"2850 sqft 3 BHK attached 5 years old beautiful flat for sale at Bhel Heaven Gardens ,Kowdiar. A most expensive prime residential area in the Capital City. One car porch, expecting price 1.95  cr. slightly negotiable.Schools and hospitals are nearby .",Kerala,Thiruvananthapuram,3 Bds - 4 Ba - 2850 ft2,2022-01-09T17:16:13+0000,19500000
IN Miyapur  biggest pree launched gated flats in very lowest price,"Dear property seeker, Greetings from urban rise ameenpur, Miyapur We are glad to announce the launch of our New project CODENAME : CENTRAL PARK-an elevated life style ,LIVE LARGE. A premium life style 2&3bhk apartments located in ameenpur,near Miyapur metro station.  Project highlights of code name CENTRAL PARK. 1)10.1 ACERS 2) 7 TOWERS 3) 2&3BHK 4) 12FLOORS 5)1254-1602 square feet unit sizes 6)Rs.58.92 lakhs onwards 7) choices large sundeck apartments 8) grand clubhouse 50,000 square feet with sporting amenities 9) more than 72% open space 10) exquisitely landscaped central court yard  11)10 minutes to Miyapur metro station 12)20 minutes to hitechCity 13)25 minutes to finacial district, Gachibowli APARTMENTS SIZES: 2BHK-1254,1417sq ft 3BHK-1376,1602 sq ft PRISE RANGE: 2BHK-RS.58.92 lakhs onwards 3BHK-RS.64.65 onwards",Telangana,Hyderabad,2 Bds - 2 Ba - 1254 ft2,2022-01-09T17:16:12+0000,5892000
Well maintained 2bhk Flat with negotiable price in Uttam Nagar West,"2BHK flat at 18.5 Lacs on 20 Ft Road at Uttam Nagar, Delhi with Bike Parking 2 BHK Flat  2 Bedrooms 1 Bathrooms 1 Balcony 1 Drawing Hall 1 Modular kitchen 1 Bike parking Loan facility Intercom and automatic locking system Bank loan upto 90% PMAY Subsidy upto 3.5 lacs conditional Just 5 minutes from uttam nagar West metro station or just 800 to 900m  Other Flats are also available in Uttam Nagar 1RK – 6 Lacs to 8 Lacs 1BHK- 12 Lacs to 18 Lacs 2BHK- 17 Lacs to 25 Lacs 3BHK- 28 Lacs to 40 Lacs 4BHK- 44 Lacs to 60 Lacs",Delhi,Delhi,2 Bds - 1 Ba - 550 ft2,2022-01-09T17:16:12+0000,1850000
Affordable 2BHK In 19.80Lacs With Easy Finance At Mohali,2BHK On Road Property In 19.80LAcs With Up To 90% Loan At Kharar  # Rent=EMI # 2.67Lacs Subsidy Benefits  Facilities Available Are  # Double Bed # Modular Kitchen + Ro + Chimney # Gated Society # Under CCTV Cameras  Loan Facility Is Also Available Up to 90%  Contact Direct Builder,Punjab,Mohali,2 Bds - 2 Ba - 957 ft2,2022-01-09T17:16:12+0000,1980000
"3BHK FLAT, READY TO MOVE FLAT, SEMI FURNISHED NEAR SECTOR 4 GURGAON,",TANISHQ BUILDERS DEVELOPERS READY TO MOVE FLAT  3BHK FLAT - 52 Lakh   JAGUAR FITTING ALMIRAH WIRING KEI MODULAR KITCHEN WITH CHIMNEY SEMI FURNISHED  LOAN AVAILABLE 80% REGISTRY APPROVED AREA COVERED CAR PARKING ROOF RIGHT SECURITY GUARD BOTH WATER SUPPLY,Haryana,Gurgaon,3 Bds - 3 Ba - 1200 ft2,2022-01-09T17:16:11+0000,5200000
3bhk flat~super location semi furnished flat & modular kitchen Gurgaon,TANISHQ BUILDERS DEVELOPERS READY TO MOVE FLAT  3BHK FLAT - 58 Lakh   LOAN AVAILABLE 80% REGISTRY APPROVED AREA COVERED CAR PARKING ROOF RIGHT SECURITY GUARD BOTH WATER SUPPLY,Haryana,Gurgaon,3 Bds - 2 Ba - 1200 ft2,2022-01-09T17:16:11+0000,5800000
घर बनाना हुआ आसान 2BHK STARTING IN 19.80LACS WITH LOAN FACILITIES,Loan Available 90% To 100%  for all leading Banks  2BHK Fully Furnished Flat Just 19.80Lacs On Kharar Chandigarh Highway Of  Mohali  * RENT= EMI * 2.6Lacs Subsidy Benefit  * Ready to move * Furnished  * Gated Society * CCTV Camera Protection  Facilities available:-  ∆. Modular Kitchen + Ro + Chimney. ∆. Led Lights + Led Panels. ∆. Wall Ceiling ∆. Near Possession apartments. ∆. 1000+ Families living here. ∆. Boundary wall. ∆. Safe zone for kids. ∆. Shopping Complex. ∆. Eco Friendly Environment. ∆. Security Guard Services is also Available. ∆. Work out for elders. ∆. High-speed internet access. ∆. Covered parking ∆. Many More Benefits  Contact Direct Builder,Punjab,Kharar,2 Bds - 2 Ba - 985 ft2,2022-01-09T17:16:11+0000,1980000
Live life like king in flat,We are developing a tower on heritage property model where each and every things will be designed in heritage theme,Uttar Pradesh,Greater Noida,1 Bds - 1 Ba - 650 ft2,2022-01-09T17:15:45+0000,1700000
FLAT FOR SALE,1 BHK with 710,Maharashtra,Thane,1 Bds - 1 Ba - 710 ft2,2022-01-09T17:13:18+0000,2650000
Live life like king size flat,We are developing heritage model tower where you will fell living in heritage property It's balcony elevation design are looking like palace,Uttar Pradesh,Greater Noida,2 Bds - 2 Ba - 950 ft2,2022-01-09T17:13:11+0000,2600000
3BHK 1.5 STORY KOTHI AVAILABLE FOR SALE,Available in Khanna colony Good location Neat and clean kothi 7-8 Years old Reasonable price Contact us for more information-            ~SIDHWAN PROPERTY ADVISOR~                                     the Reliable Agents-,Punjab,Ludhiana,3 Bds - 2 Ba - 1125 ft2,2022-01-09T17:12:53+0000,4500000
70 Gaj 3-Bhk Semi-Duplex At Govindpura,* 70 Gaj Semi-Duplex At Govindpura * 80% loanable * 2.67 lac gov.subsidy also available * 500 m from kalwar road * 3 bedroom * Modular Kitchen * Wardrobes * Vaastu friendly * Royal Play Paint * Car Parking * All electric fittings done  For more information contact us,Rajasthan,Jaipur,3 Bds - 2 Ba - 1050 ft2,2022-01-09T17:12:51+0000,2821000
"Trinity World in kakkanad, 3 bedroom flat for sale","A 3 bedroom resale flat, located in kakkanad, kochi, is available. It is a ready to move in semi furnished flat located in trinity world. Situated in a prominent locality, it is a 1-5 year old property, which is in its prime condition. The flat is on the 8th floor of the building. Aesthetically designed with vitrified flooring, this property has 3 bathroom(S). The property also has 1balcony(S). The flat faces the east direction and has a good view of the locality. The flat is a freehold property and has a super built-Up area of 1760 sq. Ft. The flat is located in a gated society and offers good security. It offers a number of important facilities like fitness centre/gym, lift(S), park, rain water harvesting, club house/community center, swimming pool, visitor parking, water storage and security/fire alarm. Full power backup. It has a water supply from the municipal corporation. Brokes please excuse",Kerala,Kochi,3 Bds - 3 Ba - 1760 ft2,2021-12-17T09:50:17+0000,7000000
3 BHK AC VILLA IN 5 CENTS,"3 BHK A/C VILLA IN 5 CENTS INCLUDING 3 WARDROBES IN M.BED ROOM AND 2 WARDROBES IN OTHER BEDROOMS,CURTAINS,GYPSUM WORKS WITH L SHAPE STRIP LIGHTS,CHIMNEY POINT,STAIRS WITH STAINLESS STEEL SQUARE PIPES,INVERTOR CONNECTION POINT,SEPTIC TANK WITH MANHOLE,WASTE PIT,BOUNDARY WALL WITH GATE,BORE WELL,WASH UNIT,TV UNIT,75% PUTTY",Kerala,Vaikom,3 Bds - 3 Ba - 1182 ft2,2021-12-14T07:23:45+0000,3850000
1BHK flat for sell..,My  flat is constructed by vastushastra rules and good ventilation . Commercial wood was  used for furniture.,Maharashtra,Pune,1 Bds - 2 Ba - 642 ft2,2020-12-17T07:51:42+0000,3100000
Haveli bangloes,Arajant cell karavanu chhe. Pllzzz,Gujarat,Sidhpur,4+ Bds - 4 Ba - 400 ft2,2022-01-09T17:12:17+0000,9500000
"Vellayani 4 cent, 1750 sqft, 3 room attached, Red bricks, teak wood",2.5 km from Vellayani jn NH  1 km from Vellayani temple  250 mtr from main road bus stop  Residancy area  4 cent  1750 sqft  3 room attached bath  Red bricks  Teak wood  2 Hall  Dining room  Open kitchen  Used all branded material  Open kitchen  Pipe connection  2 big car parking space  Tar road side  Lorry site,Kerala,Thiruvananthapuram,3 Bds - 3 Ba - 1750 ft2,2022-01-09T17:11:38+0000,6200000
Self made house,Two and half flour built-up house ready to move.,Uttar Pradesh,Lucknow,4+ Bds - 4+ Ba - 3100 ft2,2022-01-09T17:11:37+0000,8500000
Sale stand-alone flat in very good condition,"This flat condition is very good, buyer can ready to move. From this flat vegetable market and bus stand is walking distance, hardly 3 to 4 minutes.",West Bengal,Kolkata,2 Bds - 2 Ba - 599 ft2,2022-01-09T17:10:31+0000,3500000
"House for sell at Kodungallore, Near Chandhapura Junction",5 mts walk from chandhapura jn Kodungallore.. 13 cent ozhavath kadav road building constructed on 1992,Kerala,Kodungallur,3 Bds - 2 Ba - 900 ft2,2022-01-09T17:10:28+0000,6700000
3BHK Flat for Sale,"This society is located near D-Mart, Ring Road , DDU Nagar, Raipur, 492001.",Chhattisgarh,Raipur,3 Bds - 2 Ba - 1250 ft2,2022-01-09T17:09:22+0000,2500000
Pukkattupady 3.500 Cent. 3 Bhk attached 1550 Sgf. New House.,Near. Bus route 30 Mtr. Only. Pukkattupady Chembarakky route.  From. Pukkattupady jn. 1.50 Kmtr.   65 Lakh,Kerala,Choornikkara,3 Bds - 3 Ba - 1600 ft2,2022-01-09T17:08:42+0000,6500000
urgent sell,beautifull flat all word done,West Bengal,Puruliya,2 Bds - 2 Ba - 800 ft2,2022-01-09T17:08:42+0000,2300000
We deal with all types of property,"All types of property, flats,  1Bhk 2Bhk 3Bhk 90 gajh, 100 gajh, 120gajh Plots and Kothis",Punjab,Kharar,2 Bds - 2 Ba - 900 ft2,2022-01-09T17:07:00+0000,2900000
House sale at Burdwan Bajeprapappur,House sale A ready to move property sale at burdwan 2.5 katha land full boundaries all shops and market are near by.  Only 23 lakhs,West Bengal,Chandannagar M.C.,3 Bds - 1 Ba - 7200 ft2,2022-01-09T17:06:52+0000,2300000
M3M Soulitude sector 89,Most valuable location at new gurgaon and most successful builder all India M3M gurgaon,Haryana,Gurgaon,3 Bds - 3 Ba - 1423 ft2,2022-01-09T17:06:07+0000,9200000
Brand New 3 Bhk flat for sale,Beautiful 3 Bhk flat for sale in in columbia Tower Chandigarh Enclave zirakpur.   Ready to move  Gated society Good quality construction  Wallpaper in every bedroom Wooden almihra and windows Loan facilities available  Curtain roads  Led lights Price are negotiable,Punjab,Zirakpur,,2022-01-09T17:05:28+0000,3690000
Servay park. Santoshpur. On road.,G+3 stored house.full furnished. 6 bed. 3 draying. 3 kitchen. 4 balcony. 8 bathroom. 1 office space. Garage. 1 care taker room.very beautiful house.not a single work from house. Prime location. Front road 50 fit.. Well maintain house. Total land 3 katha 1 chatak.  Price negotiable,West Bengal,Kolkata,4+ Bds - 4+ Ba - 00 ft2,2022-01-09T17:04:49+0000,45000000
Lake Garden New building sale @ 2.6 Cr,"Land area - 2 Kata 12 chatak ( G + 3 ) Apertment 1st floor - 3 bhk 2 toilet 1250 sft 1 balcony. 2nd floor,3rd floor same Car parking - 5 Ground floor - 300 sft Comersial shop Nearest 10 minutes walking distance Lake Garden Railway station. 5 minutes Auto distance Rabindra Sarabar metro station. 5 minutes walking distance Southcity mall,Lords bacary more. Loan available Brokage charge - 2%",West Bengal,Kolkata,4+ Bds - 4+ Ba - 4000 ft2,2022-01-09T17:04:26+0000,26000000
Flat for sale,2BHK apt for sale,Tamil Nadu,Chennai,2 Bds - 2 Ba - 680 ft2,2022-01-09T17:04:01+0000,4500000
2BHK Flat at Lowest Price + OC + Muncipal Water + CIDCO approved,2BHK Flat at Lowest Price Guarantee Ready to Move 2 BHK Apartment 760sqft built-up  500sqft Carpet  OC Approved  CIDCO Approved  Main Road touch  Prime location  near Westside Mall  Opposite yazoo Park Gas Pipeline  Society Register  90% Bank approved  Loan from any bank   Call me direct for more information BEST DEAL Real Estate VIRAR,Maharashtra,Mumbai,2 Bds - 2 Ba - 760 ft2,2021-12-23T19:03:40+0000,3599999
Peroorkada Akg Nagar Villa 6.8 Cents 3200 sqft 4 Bed attached,"FOR SALE PEROORKADA AKG NAGAR Villas / House  6.8 Cents and 3200 Sqft 4 Bed attached. Out 9 villas 8 villas Sold only 3 villas left For sale . Trivandrum Real estate City limit .   Price 1.9 Crore Slightly negotiable   500 meter From peroorkada junction . 200 meter From main Road . 50 Cents . 9 Villas Ready to  occupy . Red Brick construction . Semi Furnished . Prime Residential Area  Villa / House Project at peroorkada in Trivandrum .  One of the Leading Architects Designed this villa project .   LOCATION -  Most Famous and promising Location Peroorkada Akg Nagar 500 Meter From peroorkada junction 200 meter From main Road   50 Cents of Land with 9 designer villas  4 to 6.75 Cents plot  2000 to 3200 Sqft .  Available Villas - 5 cents 2000 Sqft  3 Bed attached Ready to occupy. Can park 2 to 3 Car   5 Cents 2250 Sqft 3 Bed attached + Drawing Room . Can park 2 to 3 Car   6.4 Cents and 3200 Sqft 4 Bed attached  Can park 3 to 4 Car   Construction status -  Red Brick Construction and Teak wood . Ready to occupy T/C obtained and Building Tax Paid . occupancy Certificate Recieved Fully In Branded international Brands  and Quality Materials .  Amenities - 5 meter wide Corporation Tar  Road, Two Cars Can easily Move together at a time . Inside villa project Having interlocking Road,  3 Phase Electricity  Connection  and Corporation Water . Having 2 to 3 Car parking ,  Lawn , Interlocking Roads Etc   Near By Surroundings.  Walking Distance From Bus stop  market . Super market Shops . Near By  School . College . Hospital Etc   Bank Loan -  I am also a bank loan consultant. If buyer is interest to buy this Property, i can provide loan through Banks like Sbi , Hdfc , Canara Bank , Idbi Bank etc . We can provide Loan 90% From Sale amount.  Near by Location  Peroorkada . Akg Nagar .Vellayambalam . kowdiar . kowdiar palace .Kuravankonam  Shasthamanghalam Vazhuthacaud . Ambalamukku . Vazhayila .Vattiyoorkavu kudapanakunnu . Civil station . Etc   We are one of the leading Real estate Consultant and sale experts in Trivandrum  We will assist you to sell and Rent in your property in Trivandrum   If you need our service you can contact us  please do share your property details in my Whatsap Number .   Regards  Shan",Kerala,Thiruvananthapuram,4 Bds - 4 Ba - 3200 ft2,2021-12-16T04:10:07+0000,19000000
JDA approved 90% loanable,Ok plus Ansal Sushant City kalwar road Jaipur,Rajasthan,Jaipur,3 Bds - 2 Ba - 1400 ft2,2021-12-27T10:02:39+0000,2400000
House near yog sr sec school 12 quarter road hisar 50 gaj ka Makan,10*45000 rs. House in hisar City good metiril and severage water supply light  connection call only genuine buyers not time pass my number is /9eight 77 four 00 seven double 1 / call kro 12 quarter road 18 number gali me aa kr abhi naya bana hua h only 6-8 months old roof lanter and progressive area h valuable bhi,Haryana,Hisar,2 Bds - 1 Ba - 500 ft2,2022-01-09T17:03:58+0000,1045000
"LUXURIOUS FLATS IN RESIDENTIAL AREA,KOORKENCHERRY","Ideal for HOLIDAY HOME For NRI as it is Leisure filled Location with easy accessibility to all the major converging places, tour locations and rail/road and airport facilities.  Common Amenities   Roof Top Party Area  Landscaped Garden  Passenger Lift & Service Lift.  24 Hours Security Service  24 Hours power Supply  Guest car parking  BANK LOAN AVAILABLE",Kerala,Thrissur,4 Bds - 4 Ba - 1790 ft2,2021-12-30T16:04:41+0000,5599999
"1 Bedroom House for Sale Near Jorian Sarkan Devigarh Road,PTA","1 Bedroom House Available for Sale  Near Jorian Sarkan ,Devigarh Road,Patiala. -Located Very Near to British Coed High School,Dhillion Fun World,Turna Palace. -Available at Very Special and Unbelievable Fixed Price of 10,90,000 /- Main Features are- 1) 1 Bedroom House with Attached Bathroom. 2) Lobby  3) Kitchen Available. 4) Parking Space for 1 Car. 5)Washing Area available.  6)1st class material used in construction 7)Granite shelf in kitchen 8)Single entry gate 9)Located on Main Highway 10)Interlocking tile Roads 11)Loan Facility Available  from All Leading Banks. 12) Building Plan Approved  Also Available Lower Budget Plots Starting from Just 2400/- per sq yard Only",Punjab,Patiala,1 Bds - 1 Ba - 700 ft2,2021-09-11T09:00:09+0000,1090000
North-East Corner 213syds Triplex Villa for Sale at Gundlapochampally.,"Brand New 213sq.yards North-East Corner Triplex villa for sale at Gundlapochampally Road,Kompally.  Gated Community with 24/7 intercom High Security with Club House,Greenary Well Maintained Parks,BT Roads,Underground Electricity,Drinking waterline,Drainage etc  *Premium Community with Prime Location.  *Parking Facing Premium Villa.  213sq.yards - North East Corner  Ground Floor : 1 Living Room,Open Modular kitchen with 4 Flame Gas stove with Chimney with Separate Storage Kitchen Room,Spacious wide Wash area,Wide Corridors,Lawn,Pooja Room,1 Bedroom with attached Toilet,Car Parking.  1st Floor : 1 Living Room,2 Bedrooms with attached two toilets,one separate Common Toilet with Balconies.  2nd Floor : 1 Bedroom with Attached Toilet,spacious wash area with Open Terrace.  Fully Furnished with Tv entertainment Wall Units,2 Sofa’s,Dining Table,Deewan,4 Beds with Mattresses,Lavish Wardrobes with Dressing wall Units,3 Ac’s,Computer/Reading table and More.  Note : Ready to occupy and Ready to Live.  Price is 2.40 Crores Slightly Negotiable.  Loan Avail from All Nationalised and Pvt Banks  Just 3 kms Nagpur Highway. Just 4 kms from Kompally Junction.",Telangana,Hyderabad,4+ Bds - 4+ Ba - 2550 ft2,2021-12-17T20:20:26+0000,24000000
3bhk house in gated approved colony near isbt 70 lacs,Mdda approved colony near isbt Road front 30 ft Main approach road 40 ft Gated society Park  Swimming pool Gym Party hall Temple Loan facility Security,Uttaranchal,Dehradun,3 Bds - 4 Ba - 1900 ft2,2022-01-09T17:16:14+0000,7000000
2BHK FLAT NEAR AIRPORT ROAD,"2BHK FLAT  110GAJ 90% LOAN AVAILABLE 10% DOWN PAYMENT READY TO MOVE FULLY FURNISHED FLAT NEAR- SCHOOL, HOTEL MARKET, MALLS, HOSPITAL ETC.",Punjab,Kharar,2 Bds - 2 Ba - 1100 ft2,2022-01-05T17:16:13+0000,2690000
